publication_id,campaign_id,influencer_id,post_date,content_type,reach,impressions,likes,comments,shares,revenue_generated,cost_paid,approved
1,1,30,2024-01-26,Photo,1040690,1418060,108648,9363,4373,41486,8862,1
2,2,25,2023-04-16,Reel,2853933,4889821,57649,6907,856,41789,80955,1
3,2,38,2023-04-13,Photo,1167794,2187455,26976,1600,1340,7935,44852,1
4,3,3,2024-05-03,Reel,199940,362375,13895,1074,602,31447,2888,1
5,3,47,2024-04-30,Carousel,1333841,2416302,140453,19373,6258,18604,61578,0
6,4,40,2023-12-02,Photo,1328568,1987503,37731,3013,1263,43749,53404,1
7,4,17,2023-11-30,Reel,562477,880510,59116,7465,1483,21588,10990,1
8,4,27,2023-12-04,Story,442679,513997,5312,661,202,25484,6279,1
9,5,12,2023-06-18,Carousel,1450058,2269040,31031,1862,1359,7034,63186,0
10,5,10,2023-06-17,Story,2851510,6613524,138583,20371,1800,17868,30677,0
11,5,19,2023-07-07,Reel,901675,2067791,29304,3983,738,21252,43476,0
12,5,1,2023-07-04,Photo,303504,433609,2397,283,51,15408,7355,0
13,6,33,2024-01-02,Photo,3225518,5551600,74509,8896,3437,3514,57814,1
14,7,3,2023-04-29,Video,122092,176041,8485,773,316,12300,2793,1
15,7,25,2023-05-07,Carousel,3728756,7667770,75320,7514,2510,15716,76371,1
16,7,13,2023-05-02,Photo,1522926,3591778,70968,6850,1526,36321,47387,0
17,8,8,2023-10-07,Story,941143,1944814,98443,9419,2174,25711,32561,1
18,8,36,2023-09-26,Reel,1336090,2544899,76958,11487,1678,43637,34665,1
19,8,30,2023-10-07,Photo,1476764,3507113,154174,19197,6677,19256,10073,1
20,9,25,2023-12-13,Carousel,3091661,4485621,62451,7841,2541,45120,88075,1
21,9,3,2023-12-26,Reel,159982,352609,11118,592,273,9112,2690,1
22,9,5,2023-12-16,Video,589814,814599,28723,3695,1294,24476,13646,1
23,10,14,2023-03-25,Story,1147098,2815365,110236,8765,4940,8047,14315,1
24,10,3,2023-03-21,Video,175028,403298,12164,1489,598,37024,3045,0
25,11,2,2023-08-09,Story,2851527,4608124,42772,5342,876,25470,33155,1
26,12,20,2023-03-24,Carousel,2610550,6103279,243042,25796,11328,15007,42573,0
27,13,47,2023-09-15,Video,1754278,2041077,184725,9923,9206,8110,46576,1
28,13,14,2023-09-07,Carousel,773610,1304907,74343,9235,1202,27689,15397,0
29,13,43,2023-09-14,Reel,2499176,2863562,22742,1979,630,15973,36209,1
30,14,16,2023-12-25,Reel,2079043,2463188,114347,8871,5571,30300,40493,1
31,14,42,2023-12-28,Photo,933550,1093009,84206,7018,4172,37500,7381,1
32,14,20,2023-12-26,Video,1923902,3001255,179115,11598,8243,685,36617,1
33,15,45,2024-02-02,Video,1539864,1930830,180164,24618,2751,23977,74947,1
34,15,4,2024-02-03,Video,666918,981379,56888,3565,1526,7948,12195,0
35,16,39,2023-11-28,Photo,690936,1197259,24459,1764,846,48160,11672,1
36,16,33,2023-12-01,Photo,3063289,3630474,70761,6927,1844,45464,52431,0
37,16,4,2023-11-19,Reel,1132834,2210857,96630,5466,2029,41989,11483,1
38,16,36,2023-11-29,Carousel,2265757,3427765,130507,13123,3550,46491,30593,1
39,17,50,2023-06-03,Story,201159,316725,3681,350,98,6731,1245,1
40,17,7,2023-05-28,Video,1596620,3291511,113998,11106,1555,6094,42292,1
41,17,30,2023-05-31,Carousel,1419105,1680182,148154,21580,4810,44409,7702,1
42,17,11,2023-06-02,Photo,2180364,5354446,111416,12260,2681,38374,21816,1
43,18,22,2023-05-06,Reel,2978864,6802303,323206,28040,13091,38124,27466,0
44,18,13,2023-05-16,Carousel,2973052,5824216,138544,15831,1530,43611,62132,1
45,18,12,2023-04-29,Reel,1575487,3765654,33715,2869,581,9888,64196,0
46,18,10,2023-05-01,Photo,1497256,1839320,72766,7498,1822,30230,30707,1
47,19,42,2023-08-07,Carousel,1046070,2023845,94355,13052,1530,49942,8762,1
48,19,36,2023-08-05,Story,1429697,2544755,82350,7757,1723,49975,36351,1
49,19,38,2023-08-10,Carousel,879918,1567385,20326,2372,240,26403,54382,1
50,20,39,2024-03-08,Video,546495,1188238,19345,2445,417,8363,8420,0
51,21,17,2023-01-08,Video,476705,858244,50101,6680,2116,5223,9180,1
52,21,22,2023-01-17,Photo,1146952,2645965,124444,13387,4098,46997,32574,1
53,22,10,2023-06-01,Reel,1214966,1628810,59047,8547,1677,45694,38301,1
54,23,26,2024-01-09,Carousel,367100,609617,29661,1716,1329,49377,9246,1
55,23,7,2024-01-11,Photo,1052565,1939715,75153,5214,3084,23509,55105,1
56,23,11,2024-01-13,Reel,960705,1322103,49092,5411,1983,43459,18057,0
57,23,36,2024-01-20,Carousel,1901657,3286952,109535,15599,3568,42134,43212,1
58,24,30,2023-10-20,Story,1016659,1747729,106139,8521,2227,4181,8535,1
59,24,16,2023-10-25,Photo,1426489,1682752,78456,10447,1025,6417,50624,0
60,24,3,2023-10-30,Photo,150770,260775,10478,1372,377,21571,3353,1
61,25,49,2023-04-18,Reel,849884,2103751,88727,5184,3180,3065,32060,0
62,26,14,2023-07-08,Video,829669,1335316,79731,11305,2032,22675,15536,1
63,26,27,2023-07-12,Photo,575204,898219,6902,730,175,17014,7167,1
64,26,26,2023-07-02,Video,287185,684489,23204,1880,840,43893,9453,1
65,26,38,2023-07-01,Reel,1525258,3414227,35233,4122,1520,48916,54614,1
66,27,13,2023-01-26,Reel,1737659,2662810,80974,11750,1916,32368,48134,1
67,27,22,2023-01-14,Photo,1276128,2310768,138459,14396,5475,35006,25141,1
68,27,24,2023-01-29,Story,217861,286695,23768,1618,896,41442,5932,1
69,27,12,2023-01-24,Reel,1258907,2576866,26940,1986,748,19173,68850,0
70,28,37,2024-02-08,Story,276990,655237,18502,1284,687,37883,13578,0
71,28,11,2024-01-31,Carousel,2036980,3744873,104089,15262,4442,40127,18605,1
72,29,40,2023-03-26,Reel,1698160,3186354,48227,2906,2114,8670,49016,1
73,30,29,2024-02-11,Video,3900958,8829683,63585,3762,2951,30065,40007,1
74,30,50,2024-02-10,Carousel,80176,130169,1467,130,19,15215,1091,1
75,30,41,2024-02-17,Video,1785789,2308381,179293,14108,7743,46117,66848,0
76,31,25,2023-11-12,Photo,1374310,1548305,27761,1986,443,48160,80955,0
77,31,6,2023-10-27,Video,3451950,5252527,66967,3668,1794,41316,77278,1
78,31,42,2023-11-08,Photo,898523,1783331,81046,8712,3139,19588,8131,1
79,31,8,2023-10-31,Video,1260893,2559763,131889,7723,6460,4935,33703,1
80,32,14,2023-02-23,Story,440923,1090603,42372,3193,451,4927,13598,1
81,32,17,2023-02-26,Reel,668956,860794,70307,5992,1655,42626,8330,0
82,32,4,2023-02-23,Video,916243,1088808,78155,9974,2212,19731,9778,1
83,32,40,2023-02-09,Reel,1412426,2572786,40112,5973,1272,17101,43687,1
84,33,14,2024-02-16,Photo,1104988,2554862,106189,8834,1590,24618,14133,0
85,33,16,2024-02-19,Story,2068574,3257282,113771,7813,4287,24574,56612,1
86,33,22,2024-02-07,Photo,2713112,4620022,294372,44011,5068,19752,28639,1
87,34,22,2023-01-16,Carousel,1783186,3753121,193475,12897,5370,29803,25198,1
88,34,14,2023-01-26,Reel,1215323,2424881,116792,15083,1435,44486,15296,1
89,34,25,2023-01-23,Video,3539050,8613712,71488,4595,2452,29216,63141,1
90,35,38,2024-01-18,Story,1247849,3031342,28825,1534,465,29986,53733,1
91,35,50,2024-01-12,Carousel,183043,236633,3349,290,75,18764,1211,1
92,36,10,2023-08-17,Story,2330401,5543929,113257,6996,4643,46639,32090,1
93,37,47,2024-04-02,Photo,1202558,2083864,126629,17711,3520,6253,62419,1
94,37,25,2024-04-07,Carousel,3290014,6116267,66458,9246,2927,47149,84079,1
95,37,14,2024-04-07,Photo,818318,2028762,78640,10160,1531,32876,11751,1
96,37,49,2024-04-10,Carousel,1835887,2353019,191666,26531,2420,26593,42783,0
97,38,44,2023-09-24,Photo,273662,349044,29664,2423,384,31028,3806,1
98,38,10,2023-09-15,Carousel,3214273,6414761,156213,10653,7599,28852,32832,1
99,38,23,2023-09-14,Reel,3020764,4019186,207526,17072,7963,23176,91053,1
100,38,19,2023-09-13,Carousel,1166267,1731010,37903,4264,1310,6622,41420,1
101,39,22,2023-05-29,Carousel,2561992,4029161,277976,39581,3237,2359,25678,1
102,39,21,2023-06-13,Carousel,761997,1282609,85191,9703,2549,41601,36252,1
103,40,10,2024-01-11,Story,3043356,4614967,147907,8474,1833,29309,31688,0
104,40,44,2024-01-10,Video,173749,267159,18834,2294,741,23134,4226,1
105,40,13,2024-01-15,Photo,2046452,3165374,95364,9216,1973,16747,47011,1
106,40,20,2024-01-13,Carousel,3884035,6546108,361603,52891,16667,21958,47173,1
107,41,26,2023-08-23,Carousel,493011,864515,39835,5493,1190,6401,11640,0
108,41,45,2023-08-25,Reel,1467021,1713658,171641,13411,5818,43377,71792,1
109,42,43,2023-06-09,Reel,2561955,5427530,23313,2946,574,26752,26010,1
110,43,38,2023-07-06,Story,1135892,2051372,26239,3317,555,41344,48842,1
111,43,21,2023-06-23,Story,1581311,2565641,176790,26284,5712,24460,39234,1
112,43,4,2023-07-08,Carousel,816976,944715,69688,3755,2686,31547,11189,1
113,44,45,2024-01-15,Reel,2936258,3897890,343542,51208,13594,20110,69675,0
114,44,35,2024-01-23,Photo,2109248,3407913,87322,10249,4295,38753,34811,1
115,45,24,2024-01-22,Carousel,506486,966723,55257,6749,1842,11674,5331,0
116,45,46,2024-01-18,Video,172812,197731,4423,640,63,1741,1914,0
117,45,49,2024-01-18,Video,1285680,2152907,134224,17113,6284,48723,38901,1
118,45,15,2024-01-30,Reel,899320,2245936,104950,10268,2631,11849,34459,1
119,46,16,2023-06-21,Reel,1933622,3778504,106349,7362,2112,37074,44497,1
120,46,32,2023-06-10,Story,3295353,5087553,39544,3356,1872,47794,57048,1
121,46,4,2023-06-19,Story,952583,2242441,81255,7268,1934,10099,10173,1
122,47,9,2023-06-01,Reel,2661732,5712805,122173,8722,5267,18268,47557,1
123,48,40,2023-02-25,Carousel,1932099,2772552,54871,3022,2535,15289,56586,1
124,48,47,2023-02-25,Story,1763945,2188637,185743,23603,1895,36567,66137,1
125,49,11,2023-04-25,Story,2287048,4044479,116868,8174,5674,21548,19884,1
126,49,39,2023-04-07,Video,785762,1453041,27815,3402,1320,11973,10140,1
127,49,29,2023-04-06,Story,4155965,9156193,67742,4649,2706,19470,39898,1
128,49,41,2023-04-14,Photo,2283224,5479364,229235,19142,6458,42529,60052,0
129,50,21,2023-09-25,Video,1037732,2316570,116018,9637,4553,42986,32146,1
130,50,48,2023-09-09,Reel,1906958,3613482,189551,23831,3226,42359,44378,0
131,51,26,2023-03-04,Photo,444893,604473,35947,2302,824,16756,7931,0
132,51,20,2023-03-09,Reel,2544065,6196448,236852,18994,9217,1249,36364,1
133,51,10,2023-03-09,Photo,1311228,2296685,63725,4204,2386,46608,36334,1
134,52,4,2024-04-21,Video,902391,2202109,76973,7529,2170,40197,10542,0
135,52,25,2024-04-27,Video,3541495,7673015,71538,8443,2420,5865,78368,1
136,52,6,2024-04-12,Photo,3833539,4548345,74370,7791,2247,38032,79779,1
137,53,4,2023-11-30,Video,762506,1604072,65041,6431,2988,29695,12475,0
138,53,23,2023-11-18,Story,3006361,5680445,206537,21868,7623,20696,84127,0
139,53,12,2023-11-22,Video,3048216,5820982,65231,3556,1551,4678,63566,1
140,54,30,2023-04-06,Story,575244,777714,60055,3816,2141,48294,9602,0
141,55,10,2023-08-31,Story,2212587,3597453,107531,12718,3921,35843,27980,1
