influencer_id,name,username,platform,category,country,followers,avg_likes,avg_comments,engagement_rate,price_per_post,verified,created_at
1,Lea Martin,lea_martin,YouTube,Food,Germany,943912,7456,596,0.79,6695,0,2021-10-17
2,Hugo Bernard,hugo_bernard,Twitter,Beauty,France,4584866,68772,5501,1.5,29368,0,2020-10-31
3,Camille Dubois,camille_dubois,Twitter,Food,Japan,232599,16165,1293,6.95,3218,0,2022-04-04
4,Lucas Moreau,lucas_moreau,YouTube,Travel,UK,1349319,115096,9207,8.53,11104,0,2018-07-29
5,Emma Petit,emma_petit,YouTube,Tech,Spain,788008,38375,3070,4.87,13480,1,2020-07-29
6,Nathan Leroy,nathan_leroy,Twitter,Fashion,Spain,4508207,87459,6996,1.94,78627,1,2022-10-31
7,Chloe Simon,chloe_simon,Instagram,Beauty,Germany,3043614,217314,17385,7.14,50511,0,2022-10-18
8,Theo Laurent,theo_laurent,Twitter,Travel,Japan,1962791,205307,16424,10.46,28529,0,2018-11-30
9,Manon Girard,manon_girard,YouTube,Fashion,UK,3115303,142992,11439,4.59,40536,0,2018-12-01
10,Antoine Dupont,antoine_dupont,TikTok,Tech,France,3887719,188943,15115,4.86,32795,0,2022-07-07
11,Sofia Ramos,sofia_ramos,Instagram,Food,Italy,2656211,135732,10858,5.11,21752,0,2020-03-21
12,Marco Ferrari,marco_ferrari,TikTok,Food,Spain,3859128,82585,6606,2.14,62537,0,2021-04-10
13,Amelia Jones,amelia_jones,TikTok,Lifestyle,USA,3360414,156595,12527,4.66,54898,0,2018-11-10
14,Jake Wilson,jake_wilson,Twitter,Fashion,Brazil,1352026,129929,10394,9.61,14499,0,2020-12-19
15,Yuki Tanaka,yuki_tanaka,Instagram,Fashion,Spain,2119014,247288,19783,11.67,35025,0,2018-08-17
16,Priya Sharma,priya_sharma,Twitter,Beauty,Spain,2472057,135963,10877,5.5,48398,0,2020-11-05
17,Carlos Silva,carlos_silva,YouTube,Food,UK,902638,94867,7589,10.51,9575,0,2021-01-09
18,Elena Muller,elena_muller,YouTube,Lifestyle,France,4458929,493157,39452,11.06,29776,0,2022-12-05
19,Fatima Hassan,fatima_hassan,TikTok,Fashion,USA,2589615,84162,6732,3.25,41378,0,2022-04-07
20,Tom Andrews,tom_andrews,TikTok,Lifestyle,UK,4478663,416963,33357,9.31,40199,1,2020-05-16
21,Julie Blanc,julie_blanc,TikTok,Travel,Brazil,1786692,199752,15980,11.18,35603,1,2020-02-04
22,Maxime Renard,maxime_renard,Twitter,Fashion,Germany,3685049,399827,31986,10.85,30845,0,2018-02-13
23,Laura Fontaine,laura_fontaine,TikTok,Beauty,USA,4945091,339727,27178,6.87,77230,0,2019-04-14
24,Pierre Morel,pierre_morel,YouTube,Fashion,Germany,575394,62775,5022,10.91,5280,0,2019-03-15
25,Ines Garnier,ines_garnier,Twitter,Food,Japan,4533422,91575,7326,2.02,77577,0,2018-07-13
26,Baptiste Chevalier,baptiste_chevalier,YouTube,Gaming,Brazil,823114,66507,5320,8.08,9881,1,2018-04-21
27,Alice Mercier,alice_mercier,YouTube,Fashion,Germany,835588,10027,802,1.2,6579,1,2020-07-07
28,Nicolas Faure,nicolas_faure,YouTube,Lifestyle,Germany,1185934,63447,5075,5.35,21485,0,2020-06-26
29,Marie Lefebvre,marie_lefebvre,Instagram,Fashion,Germany,4626463,75411,6032,1.63,34673,0,2020-09-12
30,Paul Bonnet,paul_bonnet,Instagram,Fitness,Brazil,1803042,188237,15059,10.44,9073,0,2019-06-28
31,Aya Diallo,aya_diallo,Twitter,Fitness,Germany,3826886,144656,11572,3.78,36166,0,2021-04-01
32,Chen Wei,chen_wei,YouTube,Beauty,France,4558263,54699,4375,1.2,62733,1,2022-10-13
33,Sara Kowalski,sara_kowalski,Instagram,Fitness,USA,4465408,103150,8252,2.31,62183,1,2022-11-01
34,Remi Bourgeois,remi_bourgeois,TikTok,Beauty,USA,1983033,101927,8154,5.14,22385,1,2021-03-03
35,Lucie Aubert,lucie_aubert,YouTube,Food,Italy,4395419,181970,14557,4.14,37713,0,2018-09-26
36,Kevin Nkosi,kevin_nkosi,Instagram,Beauty,Japan,2526557,145529,11642,5.76,36173,1,2018-07-24
37,Cecile Vidal,cecile_vidal,YouTube,Fitness,Italy,624555,41720,3337,6.68,11374,0,2020-01-27
38,Arnaud Perrin,arnaud_perrin,YouTube,Beauty,Spain,2400647,55454,4436,2.31,45555,0,2022-12-04
39,Jade Royer,jade_royer,Instagram,Fitness,Spain,1136515,40232,3218,3.54,10485,0,2022-01-09
40,Mathieu Caron,mathieu_caron,YouTube,Lifestyle,Spain,2886288,81970,6557,2.84,53627,0,2018-07-09
41,Vanessa Lopez,vanessa_lopez,Instagram,Beauty,Italy,3563211,357746,28619,10.04,59030,1,2019-06-21
42,Diego Herrera,diego_herrera,Twitter,Beauty,USA,1365447,123163,9853,9.02,8368,1,2018-11-02
43,Noemie Fabre,noemie_fabre,YouTube,Fitness,Brazil,4586743,41739,3339,0.91,31702,0,2020-01-17
44,Florian Schmitt,florian_schmitt,TikTok,Food,USA,344662,37361,2988,10.84,3551,1,2022-11-27
45,Amandine Roy,amandine_roy,TikTok,Food,UK,3418940,400015,32001,11.7,67158,0,2020-04-24
46,Tristan Marchand,tristan_marchand,YouTube,Gaming,Germany,217923,5578,446,2.56,1961,1,2018-08-10
47,Pauline Guerin,pauline_guerin,Twitter,Food,Germany,3218992,338959,27116,10.53,55523,0,2019-12-18
48,Julien Dufour,julien_dufour,TikTok,Food,France,2570126,255470,20437,9.94,38296,0,2019-11-04
49,Elisa Bernard,elisa_bernard,YouTube,Tech,Brazil,2347091,245036,19602,10.44,35658,1,2019-11-10
50,Romain Tessier,romain_tessier,YouTube,Fitness,Spain,241530,4419,353,1.83,1346,1,2020-06-08
