brand_id,name,industry,country,website
1,LOreal Paris,Beauty,France,loreal.com
2,Nike,Fitness,USA,nike.com
3,Zara,Fashion,Spain,zara.com
4,GoPro,Tech,USA,gopro.com
5,Airbnb,Travel,USA,airbnb.com
6,Sephora,Beauty,France,sephora.com
7,Adidas,Fitness,Germany,adidas.com
8,H&M,Fashion,Sweden,hm.com
9,Apple,Tech,USA,apple.com
10,Deliveroo,Food,UK,deliveroo.com
11,HelloFresh,Food,Germany,hellofresh.com
12,Booking.com,Travel,Netherlands,booking.com
13,PlayStation,Gaming,Japan,playstation.com
14,Maybelline,Beauty,USA,maybelline.com
15,Decathlon,Fitness,France,decathlon.com
